Date,Open,High,Low,Close,Volume,OpenInt
20130614,8.5,8.5,7.6403,8,19446,0
20130617,8,8,7.762,7.95,1491,0
20130618,7.81,8,7.7809,7.9965,5566,0
20130619,8.04,8.05,8.01,8.0199,4795,0
20130620,8.05,8.2,8.05,8.2,19722,0
20130621,7.6,8.34,7.6,8.2404,17239,0
20130624,8.14,8.749,5.94,8.15,27411,0
20130625,8.16,8.2,7.8,8,15632,0
20130626,7.95,7.95,7.5,7.75,25419,0
20130627,7.7,8.06,7.4,7.9,15207,0
20130628,8.02,8.05,7.6,8,4454,0
20130701,7.83,8,7.33,7.89,7086,0
20130702,7.51,7.85,7.5,7.65,18167,0
20130703,7.48,7.8499,7.03,7.35,15486,0
20130705,7.41,7.8,7.101,7.4,13830,0
20130708,7.5899,7.65,7.481,7.602,53956,0
20130709,7.3,7.47,7.15,7.44,16500,0
20130710,7.43,7.73,6.99,7.25,50314,0
20130711,7.1,7.2,6.8,7.09,19686,0
20130712,7.09,7.5,6.8,7.1899,58355,0
20130715,7.18,7.47,7.13,7.14,32654,0
20130716,7.25,7.25,6.95,7.1671,6508,0
20130717,7.16,7.16,6.95,6.98,4935,0
20130718,6.95,7.06,6.8,6.91,17127,0
20130719,6.89,7.125,6.11,6.45,37002,0
20130722,7.24,7.24,5.94,6.15,56872,0
20130723,6.15,6.17,6,6.1172,16562,0
20130724,6.21,6.33,6.05,6.05,16497,0
20130725,6.01,6.48,5.9,5.91,24560,0
20130726,5.95,6.03,5.771,5.95,27279,0
20130729,6.05,6.2499,5.8,6.1,10100,0
20130730,6,6.24,5.9601,6.13,10884,0
20130731,6.25,6.3899,6.099,6.35,19530,0
20130801,6.48,6.48,6.2988,6.35,24956,0
20130802,6.2,6.2,6.14,6.1999,4700,0
20130805,6.11,6.2,6.0228,6.09,32653,0
20130806,6.2,6.39,6.05,6.3,19616,0
20130807,6.31,6.4,6.1,6.149,14998,0
20130808,6.3,6.36,6,6.228,31801,0
20130809,6.19,6.29,6,6.28,11734,0
20130812,6.26,6.26,6.185,6.2,3588,0
20130813,6.01,6.1724,6.01,6.1,9611,0
20130814,6.07,6.07,6.011,6.05,1834,0
20130815,6,6.2,5.85,6.2,16952,0
20130816,6.15,6.2215,6.15,6.2215,300,0
20130819,6.22,6.22,6.07,6.12,4579,0
20130820,6.2,6.2,6.05,6.07,10372,0
20130821,6.06,6.0968,6.0587,6.09,2084,0
20130822,6.09,6.15,6.05,6.05,5933,0
20130823,6.18,6.18,6.0501,6.159,16668,0
20130826,6.14,6.14,6,6.0458,18404,0
20130827,6.05,6.09,6.05,6.05,5680,0
20130828,5.9,6.18,5.89,6.03,14520,0
20130829,5.9999,6.2,5.999,6.16,18351,0
20130830,6.14,6.35,5.98,6.28,14075,0
20130903,6.2,6.28,5.95,6.08,20758,0
